Year,Laureate,Country,Language,Citation,Genres
2005,Harold Pinter(1930–2008),United Kingdom,English,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""[106]","drama, screenplay, poetry"
2006,Orhan Pamuk(b. 1952),Turkey,Turkish,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""[107]","novel, screenplay, autobiography, essay"
2007,Doris Lessing(1919–2013),United Kingdom(born inIran),English,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""[108]","novel, short story, memoir/ autobiography, drama, poetry, essay"
2008,Jean-Marie Gustave Le Clézio(b. 1940),FranceMauritius,French,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""[109]","novel, short story, essay, translation"
2009,Herta Müller(b. 1953),GermanyRomania,German,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""[110]","novel, short story, poetry, essay"
2010,Mario Vargas Llosa(b. 1936),PeruSpain,Spanish,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""[111]","novel, short story, essay, drama, memoir"
2011,Tomas Tranströmer(1931–2015),Sweden,Swedish,"""because, through his condensed, translucent images, he gives us fresh access to reality""[112]","poetry, translation"
2012,Mo Yan(b. 1955),China,Chinese,"""who withhallucinatory realismmerges folk tales, history and the contemporary""[113]","novel, short story"
2013,Alice Munro(1931–2024),Canada,English,"""master of the contemporary short story""[114]",short story
2014,Patrick Modiano(b. 1945),France,French,"""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world ofthe Occupation""[115]","novel, screenplay"
2015,Svetlana Alexievich(b. 1948),Belarus(born inSoviet Ukraine),Russian,"""for her polyphonic writings, a monument to suffering and courage in our time""[116]","history, essay"
2016,Bob Dylan(b. 1941),United States,English,"""for having created new poetic expressions within the greatAmerican song tradition""[117]","poetry, song lyrics"
2017,Kazuo Ishiguro(b. 1954),United Kingdom(born inJapan),English,"""who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world""[118]","novel, screenplay, short story"
2018,Olga Tokarczuk(b. 1962),Poland,Polish,"""for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life""[119]","novel, short story, poetry, essay, screenplay"
2019,Peter Handke(b. 1942),Austria,German,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""[120]","novel, short story, drama, essay, translation, screenplay"
2020,Louise Glück(1943–2023),United States,English,"""for her unmistakable poetic voice that with austere beauty makes individual existence universal""[121]","poetry, essay"
2021,Abdulrazak Gurnah(b. 1948),TanzaniaUnited Kingdom(born in theSultanate of Zanzibar),English,"""for his uncompromising and compassionate penetration of the effects ofcolonialismand the fate of the refugee in the gulf between cultures and continents""[122]","novel, short story, essay"
2022,Annie Ernaux(b. 1940),France,French,"""for the courage and clinical acuity with which she uncovers the roots, estrangements and collective restraints of personal memory""[123]","memoir, novel"
2023,Jon Fosse(b. 1959),Norway,Norwegian,"""for his innovative plays and prose which give voice to the unsayable""[124]","drama, novel, poetry, essay"
2024,Han Kang(b. 1970),South Korea,Korean,"""for her intense poetic prose that confronts historical traumas and exposes the fragility of human life""[125]","novel, poetry"
